"Node","Hemisphere","Lobe"
"bankssts","L","Temporal"
"caudalanteriorcingulate","L","Cingulate"
"caudalmiddlefrontal","L","Frontal"
"cuneus","L","Occipital"
"entorhinal","L","Temporal"
"fusiform","L","Temporal"
"inferiorparietal","L","Parietal"
"inferiortemporal","L","Temporal"
"isthmuscingulate","L","Cingulate"
"lateraloccipital","L","Occipital"
"lateralorbitofrontal","L","Frontal"
"lingual","L","Occipital"
"medialorbitofrontal","L","Frontal"
"middletemporal","L","Temporal"
"parahippocampal","L","Temporal"
"paracentral","L","Frontal"
"parsopercularis","L","Frontal"
"parsorbitalis","L","Frontal"
"parstriangularis","L","Frontal"
"pericalcarine","L","Occipital"
"postcentral","L","Parietal"
"posteriorcingulate","L","Cingulate"
"precentral","L","Frontal"
"precuneus","L","Parietal"
"rostralanteriorcingulate","L","Cingulate"
"rostralmiddlefrontal","L","Frontal"
"superiorfrontal","L","Frontal"
"superiorparietal","L","Parietal"
"superiortemporal","L","Temporal"
"supramarginal","L","Parietal"
"frontalpole","L","Frontal"
"temporalpole","L","Temporal"
"transversetemporal","L","Temporal"
"insula","L","Insula"
"bankssts","R","Temporal"
"caudalanteriorcingulate","R","Cingulate"
"caudalmiddlefrontal","R","Frontal"
"cuneus","R","Occipital"
"entorhinal","R","Temporal"
"fusiform","R","Temporal"
"inferiorparietal","R","Parietal"
"inferiortemporal","R","Temporal"
"isthmuscingulate","R","Cingulate"
"lateraloccipital","R","Occipital"
"lateralorbitofrontal","R","Frontal"
"lingual","R","Occipital"
"medialorbitofrontal","R","Frontal"
"middletemporal","R","Temporal"
"parahippocampal","R","Temporal"
"paracentral","R","Frontal"
"parsopercularis","R","Frontal"
"parsorbitalis","R","Frontal"
"parstriangularis","R","Frontal"
"pericalcarine","R","Occipital"
"postcentral","R","Parietal"
"posteriorcingulate","R","Cingulate"
"precentral","R","Frontal"
"precuneus","R","Parietal"
"rostralanteriorcingulate","R","Cingulate"
"rostralmiddlefrontal","R","Frontal"
"superiorfrontal","R","Frontal"
"superiorparietal","R","Parietal"
"superiortemporal","R","Temporal"
"supramarginal","R","Parietal"
"frontalpole","R","Frontal"
"temporalpole","R","Temporal"
"transversetemporal","R","Temporal"
"insula","R","Insula"
